kind,path,file,participant,image_id,code,matched_fixation_csv,code_meme,code_person,code_politik,code_ort,code_text
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id001_meme_ncc_processed_heatmap.png,P000_id001_meme_ncc_processed_heatmap.png,000,001,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id001_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id002_meme_ncc_processed_heatmap.png,P000_id002_meme_ncc_processed_heatmap.png,000,002,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id002_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id003_meme_ncc_processed_heatmap.png,P000_id003_meme_ncc_processed_heatmap.png,000,003,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id003_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id004_meme_ncc_processed_heatmap.png,P000_id004_meme_ncc_processed_heatmap.png,000,004,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id004_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id005_meme_ncc_processed_heatmap.png,P000_id005_meme_ncc_processed_heatmap.png,000,005,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id005_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id006_meme_ncc_processed_heatmap.png,P000_id006_meme_ncc_processed_heatmap.png,000,006,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id006_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id007_meme_ncc_processed_heatmap.png,P000_id007_meme_ncc_processed_heatmap.png,000,007,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id007_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id008_meme_ncc_processed_heatmap.png,P000_id008_meme_ncc_processed_heatmap.png,000,008,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id008_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id009_meme_ncc_processed_heatmap.png,P000_id009_meme_ncc_processed_heatmap.png,000,009,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id009_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id010_meme_ncc_processed_heatmap.png,P000_id010_meme_ncc_processed_heatmap.png,000,010,10000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id010_meme_10000.csv,1,0,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id011_ort_processed_heatmap.png,P000_id011_ort_processed_heatmap.png,000,011,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id011_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id012_ort_processed_heatmap.png,P000_id012_ort_processed_heatmap.png,000,012,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id012_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id013_ort_processed_heatmap.png,P000_id013_ort_processed_heatmap.png,000,013,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id013_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id014_ort_processed_heatmap.png,P000_id014_ort_processed_heatmap.png,000,014,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id014_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id015_ort_processed_heatmap.png,P000_id015_ort_processed_heatmap.png,000,015,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id015_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id016_ort_processed_heatmap.png,P000_id016_ort_processed_heatmap.png,000,016,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id016_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id017_ort_processed_heatmap.png,P000_id017_ort_processed_heatmap.png,000,017,01001,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id017_ort_01001.csv,0,1,0,0,1
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id018_ort_processed_heatmap.png,P000_id018_ort_processed_heatmap.png,000,018,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id018_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id019_ort_processed_heatmap.png,P000_id019_ort_processed_heatmap.png,000,019,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id019_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id020_ort_processed_heatmap.png,P000_id020_ort_processed_heatmap.png,000,020,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id020_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id021_ort_processed_heatmap.png,P000_id021_ort_processed_heatmap.png,000,021,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id021_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id022_ort_processed_heatmap.png,P000_id022_ort_processed_heatmap.png,000,022,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id022_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id023_ort_processed_heatmap.png,P000_id023_ort_processed_heatmap.png,000,023,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id023_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id024_ort_processed_heatmap.png,P000_id024_ort_processed_heatmap.png,000,024,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id024_ort_01000.csv,0,1,0,0,0
heatmaps,c:\Users\SWixforth\Uni\eye-tracking-ai\visualization\heatmaps\P000_id025_ort_processed_heatmap.png,P000_id025_ort_processed_heatmap.png,000,025,01000,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id025_ort_01000.csv,0,1,0,0,0
